url,title,representativeImage,ogImage,imageWidth,imageHeight,fileSize,unique,visibleInBody,alt,structuredDataImage,status
/부산법무사,"부산 법무사",/generated/serp/local/busan-attorney.jpg,/generated/serp/local/busan-attorney.jpg,1200,1200,104160,yes,yes,"부산 법무사를 안내하는 안윤정 법무사",/generated/serp/local/busan-attorney.jpg,READY
/부산상속법무사,"부산 상속 법무사",/generated/serp/inheritance/busan-inheritance-hub.jpg,/generated/serp/inheritance/busan-inheritance-hub.jpg,1200,1200,97677,yes,yes,"부산 상속 법무사를 안내하는 안윤정 법무사",/generated/serp/inheritance/busan-inheritance-hub.jpg,READY
/부산상속등기,"부산 상속등기",/generated/serp/inheritance/busan-inheritance-registration.jpg,/generated/serp/inheritance/busan-inheritance-registration.jpg,1200,1200,191245,yes,yes,"부산 상속등기를 안내하는 안윤정 법무사",/generated/serp/inheritance/busan-inheritance-registration.jpg,READY
/부산상속포기,"부산 상속포기",/generated/serp/inheritance/busan-inheritance-renunciation.jpg,/generated/serp/inheritance/busan-inheritance-renunciation.jpg,1200,1200,114723,yes,yes,"부산 상속포기를 안내하는 안윤정 법무사",/generated/serp/inheritance/busan-inheritance-renunciation.jpg,READY
/부산한정승인,"부산 한정승인",/generated/serp/inheritance/busan-qualified-acceptance.jpg,/generated/serp/inheritance/busan-qualified-acceptance.jpg,1200,1200,148879,yes,yes,"부산 한정승인를 안내하는 안윤정 법무사",/generated/serp/inheritance/busan-qualified-acceptance.jpg,READY
/특별한정승인,"특별한정승인",/generated/serp/inheritance/special-qualified-acceptance.jpg,/generated/serp/inheritance/special-qualified-acceptance.jpg,1200,1200,127001,yes,yes,"특별한정승인를 안내하는 안윤정 법무사",/generated/serp/inheritance/special-qualified-acceptance.jpg,READY
/상속재산분할협의서준비,"상속재산 분할협의",/generated/serp/inheritance/inheritance-division.jpg,/generated/serp/inheritance/inheritance-division.jpg,1200,1200,98462,yes,yes,"상속재산 분할협의를 안내하는 안윤정 법무사",/generated/serp/inheritance/inheritance-division.jpg,READY
/대습상속등기,"대습상속등기",/generated/serp/inheritance/subrogation-inheritance.jpg,/generated/serp/inheritance/subrogation-inheritance.jpg,1200,1200,162576,yes,yes,"대습상속등기를 안내하는 안윤정 법무사",/generated/serp/inheritance/subrogation-inheritance.jpg,READY
/사망자재산채무조회,"재산·채무 조회",/generated/serp/inheritance/assets-debts-lookup.jpg,/generated/serp/inheritance/assets-debts-lookup.jpg,1200,1200,114529,yes,yes,"재산·채무 조회를 안내하는 안윤정 법무사",/generated/serp/inheritance/assets-debts-lookup.jpg,READY
/부산등기법무사,"부산 등기 법무사",/generated/serp/realestate/busan-registry-attorney.jpg,/generated/serp/realestate/busan-registry-attorney.jpg,1200,1200,201340,yes,yes,"부산 등기 법무사를 안내하는 안윤정 법무사",/generated/serp/realestate/busan-registry-attorney.jpg,READY
/부산부동산등기,"부산 부동산등기",/generated/serp/realestate/busan-real-estate.jpg,/generated/serp/realestate/busan-real-estate.jpg,1200,1200,154794,yes,yes,"부산 부동산등기를 안내하는 안윤정 법무사",/generated/serp/realestate/busan-real-estate.jpg,READY
/부산소유권이전등기,"부산 소유권이전등기",/generated/serp/realestate/busan-ownership-transfer.jpg,/generated/serp/realestate/busan-ownership-transfer.jpg,1200,1200,149582,yes,yes,"부산 소유권이전등기를 안내하는 안윤정 법무사",/generated/serp/realestate/busan-ownership-transfer.jpg,READY
/부산증여등기,"부산 증여등기",/generated/serp/realestate/busan-gift-registration.jpg,/generated/serp/realestate/busan-gift-registration.jpg,1200,1200,136047,yes,yes,"부산 증여등기를 안내하는 안윤정 법무사",/generated/serp/realestate/busan-gift-registration.jpg,READY
/부산근저당설정등기,"부산 근저당설정등기",/generated/serp/realestate/busan-mortgage-set.jpg,/generated/serp/realestate/busan-mortgage-set.jpg,1200,1200,160691,yes,yes,"부산 근저당설정등기를 안내하는 안윤정 법무사",/generated/serp/realestate/busan-mortgage-set.jpg,READY
/부산근저당말소등기,"부산 근저당말소등기",/generated/serp/realestate/busan-mortgage-release.jpg,/generated/serp/realestate/busan-mortgage-release.jpg,1200,1200,111469,yes,yes,"부산 근저당말소등기를 안내하는 안윤정 법무사",/generated/serp/realestate/busan-mortgage-release.jpg,READY
/부산전세권설정등기,"부산 전세권설정등기",/generated/serp/lease/busan-jeonse-set.jpg,/generated/serp/lease/busan-jeonse-set.jpg,1200,1200,95899,yes,yes,"부산 전세권설정등기를 안내하는 안윤정 법무사",/generated/serp/lease/busan-jeonse-set.jpg,READY
/부산전세권말소등기,"부산 전세권말소등기",/generated/serp/lease/busan-jeonse-release.jpg,/generated/serp/lease/busan-jeonse-release.jpg,1200,1200,125041,yes,yes,"부산 전세권말소등기를 안내하는 안윤정 법무사",/generated/serp/lease/busan-jeonse-release.jpg,READY
/부산신축건물보존등기,"부산 신축건물 보존등기",/generated/serp/realestate/busan-building-preservation.jpg,/generated/serp/realestate/busan-building-preservation.jpg,1200,1200,192855,yes,yes,"부산 신축건물 보존등기를 안내하는 안윤정 법무사",/generated/serp/realestate/busan-building-preservation.jpg,READY
/부산법인법무사,"부산 법인 법무사",/generated/serp/corporate/busan-corporate-hub.jpg,/generated/serp/corporate/busan-corporate-hub.jpg,1200,1200,141852,yes,yes,"부산 법인 법무사를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-corporate-hub.jpg,READY
/부산법인등기,"부산 법인등기",/generated/serp/corporate/busan-corporate-registration.jpg,/generated/serp/corporate/busan-corporate-registration.jpg,1200,1200,139644,yes,yes,"부산 법인등기를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-corporate-registration.jpg,READY
/부산법인설립등기,"부산 법인설립등기",/generated/serp/corporate/busan-company-establishment.jpg,/generated/serp/corporate/busan-company-establishment.jpg,1200,1200,140111,yes,yes,"부산 법인설립등기를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-company-establishment.jpg,READY
/부산임원변경등기,"부산 임원변경등기",/generated/serp/corporate/busan-director-change.jpg,/generated/serp/corporate/busan-director-change.jpg,1200,1200,153296,yes,yes,"부산 임원변경등기를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-director-change.jpg,READY
/부산본점이전등기,"부산 본점이전등기",/generated/serp/corporate/busan-head-office-move.jpg,/generated/serp/corporate/busan-head-office-move.jpg,1200,1200,111268,yes,yes,"부산 본점이전등기를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-head-office-move.jpg,READY
/부산사업목적변경등기,"부산 사업목적변경등기",/generated/serp/corporate/busan-purpose-change.jpg,/generated/serp/corporate/busan-purpose-change.jpg,1200,1200,98478,yes,yes,"부산 사업목적변경등기를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-purpose-change.jpg,READY
/부산유상증자등기,"부산 유상증자등기",/generated/serp/corporate/busan-capital-increase.jpg,/generated/serp/corporate/busan-capital-increase.jpg,1200,1200,139514,yes,yes,"부산 유상증자등기를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-capital-increase.jpg,READY
/부산법인해산청산등기,"부산 법인해산·청산등기",/generated/serp/corporate/busan-dissolution-liquidation.jpg,/generated/serp/corporate/busan-dissolution-liquidation.jpg,1200,1200,121422,yes,yes,"부산 법인해산·청산등기를 안내하는 안윤정 법무사",/generated/serp/corporate/busan-dissolution-liquidation.jpg,READY
/법률강의,"법률 강의",/generated/serp/lecture/lecture-hub.jpg,/generated/serp/lecture/lecture-hub.jpg,1200,1200,105739,yes,yes,"법률 강의를 안내하는 안윤정 법무사",/generated/serp/lecture/lecture-hub.jpg,READY
/전세사기예방교육,"전세사기 예방 교육",/generated/serp/lecture/jeonse-prevention.jpg,/generated/serp/lecture/jeonse-prevention.jpg,1200,1200,94511,yes,yes,"전세사기 예방 교육를 안내하는 안윤정 법무사",/generated/serp/lecture/jeonse-prevention.jpg,READY
