term,url,category,title,h1,indexable,canonical,sitemap,word_count,current_primary_query,incoming_links,outgoing_links,existing_service_owner,searchadvisor_impressions,searchadvisor_clicks,searchadvisor_ctr,business_intent_score,service_fit_score,seo_collision_score,recommended_action,reason
압류,/glossary/attachment,rights,압류 용어 확인 | 다옴법무사사무소,압류,false,/부산압류말소등기,false,477,등기부 압류 말소,6,36,/부산압류말소등기,UNKNOWN,UNKNOWN,UNKNOWN,42,52,70,REMOVE_FROM_DISCOVERY,owner=/부산압류말소등기; final=39; Search Advisor UNKNOWN
질권,/glossary/pledge,rights,질권 용어 확인 | 다옴법무사사무소,질권,false,/glossary/pledge,false,486,질권과 등기 실무 구분,4,36,/법인등기,UNKNOWN,UNKNOWN,UNKNOWN,18,28,30,REMOVE_FROM_DISCOVERY,owner=/법인등기; final=27; Search Advisor UNKNOWN
전세권,/glossary/jeonse-right,real-estate,전세권 용어 확인 | 다옴법무사사무소,전세권,false,/glossary/jeonse-right,false,502,전세권 설정·말소 확인,8,36,/부산전세권설정등기,UNKNOWN,UNKNOWN,UNKNOWN,74,90,84,SUPPORT_NOINDEX,owner=/부산전세권설정등기; final=62; Search Advisor UNKNOWN
임차권등기명령,/glossary/lease-registration-order,real-estate,임차권등기명령 용어 확인 | 다옴법무사사무소,임차권등기명령,false,/부산임차권등기명령,false,584,보증금 못 받고 이사할 때,10,36,/부산임차권등기명령,UNKNOWN,UNKNOWN,UNKNOWN,94,95,90,SUPPORT_NOINDEX,owner=/부산임차권등기명령; final=70; Search Advisor UNKNOWN
소유권이전등기,/glossary/ownership-transfer-registration,real-estate,소유권이전등기 용어 확인 | 다옴법무사사무소,소유권이전등기,false,/부산소유권이전등기,false,532,잔금일 소유권이전등기 서류,8,36,/부산소유권이전등기,UNKNOWN,UNKNOWN,UNKNOWN,90,95,88,SUPPORT_NOINDEX,owner=/부산소유권이전등기; final=69; Search Advisor UNKNOWN
소유권보존등기,/glossary/ownership-preservation-registration,real-estate,소유권보존등기 용어 확인 | 다옴법무사사무소,소유권보존등기,false,/미등기건물소유권보존등기,false,523,신축 소유권보존등기,10,36,/미등기건물소유권보존등기,UNKNOWN,UNKNOWN,UNKNOWN,80,92,66,SUPPORT_NOINDEX,owner=/미등기건물소유권보존등기; final=71; Search Advisor UNKNOWN
등록면허세,/glossary/registration-license-tax,tax-fee,등록면허세 용어 확인 | 다옴법무사사무소,등록면허세,false,/등록면허세,false,493,등기 전 등록면허세,8,36,/등록면허세,UNKNOWN,UNKNOWN,UNKNOWN,28,48,75,REMOVE_FROM_DISCOVERY,owner=/등록면허세; final=30; Search Advisor UNKNOWN
취득세,/glossary/acquisition-tax,tax-fee,취득세 용어 확인 | 다옴법무사사무소,취득세,false,/취득세,false,515,상속·매매 취득세와 등기 순서,10,36,/취득세,UNKNOWN,UNKNOWN,UNKNOWN,36,52,78,REMOVE_FROM_DISCOVERY,owner=/취득세; final=35; Search Advisor UNKNOWN
인지대,/glossary/stamp-duty,tax-fee,인지대 용어 확인 | 다옴법무사사무소,인지대,false,/glossary/stamp-duty,false,494,법원 신청 인지대,6,36,/부산지방법원지급명령,UNKNOWN,UNKNOWN,UNKNOWN,12,38,45,REMOVE_FROM_DISCOVERY,owner=/부산지방법원지급명령; final=25; Search Advisor UNKNOWN
송달료,/glossary/service-fee,tax-fee,송달료 용어 확인 | 다옴법무사사무소,송달료,false,/glossary/service-fee,false,457,법원 송달료,6,36,/부산개인회생,UNKNOWN,UNKNOWN,UNKNOWN,12,40,45,REMOVE_FROM_DISCOVERY,owner=/부산개인회생; final=26; Search Advisor UNKNOWN
지급명령,/glossary/payment-order,civil,지급명령 용어 확인 | 다옴법무사사무소,지급명령,false,/부산지방법원지급명령,false,548,돈을 못 받았을 때 지급명령,6,36,/부산지방법원지급명령,UNKNOWN,UNKNOWN,UNKNOWN,82,86,62,SUPPORT_NOINDEX,owner=/부산지방법원지급명령; final=71; Search Advisor UNKNOWN
내용증명,/glossary/certified-mail,civil,내용증명 용어 확인 | 다옴법무사사무소,내용증명,false,/내용증명작성준비,false,522,보증금·대금 내용증명,6,36,/내용증명작성준비,UNKNOWN,UNKNOWN,UNKNOWN,76,82,60,SUPPORT_NOINDEX,owner=/내용증명작성준비; final=68; Search Advisor UNKNOWN
소장,/glossary/complaint,civil,소장 용어 확인 | 다옴법무사사무소,소장,false,/glossary/complaint,false,517,소장과 지급명령 구분,6,36,/민사소송,UNKNOWN,UNKNOWN,UNKNOWN,38,30,52,REMOVE_FROM_DISCOVERY,owner=/민사소송; final=32; Search Advisor UNKNOWN
답변서,/glossary/answer-brief,civil,답변서 용어 확인 | 다옴법무사사무소,답변서,false,/glossary/answer-brief,false,482,답변서 제출 기한,6,36,/민사소송,UNKNOWN,UNKNOWN,UNKNOWN,38,30,52,REMOVE_FROM_DISCOVERY,owner=/민사소송; final=32; Search Advisor UNKNOWN
개인회생,/glossary/personal-rehabilitation,rehab,개인회생 용어 확인 | 다옴법무사사무소,개인회생,false,/부산개인회생,false,475,개인회생 신청 전 확인,6,36,/부산개인회생,UNKNOWN,UNKNOWN,UNKNOWN,90,95,88,SUPPORT_NOINDEX,owner=/부산개인회생; final=69; Search Advisor UNKNOWN
개인파산,/glossary/personal-bankruptcy,rehab,개인파산 용어 확인 | 다옴법무사사무소,개인파산,false,/부산개인파산,false,486,개인파산 신청 전 확인,4,36,/부산개인파산,UNKNOWN,UNKNOWN,UNKNOWN,90,95,88,SUPPORT_NOINDEX,owner=/부산개인파산; final=69; Search Advisor UNKNOWN
면책,/glossary/discharge,rehab,면책 용어 확인 | 다옴법무사사무소,면책,false,/부산면책신청,false,491,파산·회생 후 면책,6,36,/부산면책신청,UNKNOWN,UNKNOWN,UNKNOWN,52,82,72,SUPPORT_NOINDEX,owner=/부산면책신청; final=53; Search Advisor UNKNOWN
법인설립등기,/glossary/company-establishment-registration,corporate,법인설립등기 용어 확인 | 다옴법무사사무소,법인설립등기,false,/부산법인설립등기,false,498,법인설립등기 준비서류,10,36,/부산법인설립등기,UNKNOWN,UNKNOWN,UNKNOWN,88,95,88,SUPPORT_NOINDEX,owner=/부산법인설립등기; final=68; Search Advisor UNKNOWN
임원변경등기,/glossary/director-change-registration,corporate,임원변경등기 용어 확인 | 다옴법무사사무소,임원변경등기,false,/부산임원변경등기,false,477,임원변경등기 2주 기한,10,36,/부산임원변경등기,UNKNOWN,UNKNOWN,UNKNOWN,94,100,92,SUPPORT_NOINDEX,owner=/부산임원변경등기; final=71; Search Advisor UNKNOWN
본점이전등기,/glossary/head-office-move-registration,corporate,본점이전등기 용어 확인 | 다옴법무사사무소,본점이전등기,false,/부산본점이전등기,false,522,법인 사무실 이전 등기,10,36,/부산본점이전등기,UNKNOWN,UNKNOWN,UNKNOWN,86,95,82,SUPPORT_NOINDEX,owner=/부산본점이전등기; final=69; Search Advisor UNKNOWN
목적변경등기,/glossary/purpose-change-registration,corporate,목적변경등기 용어 확인 | 다옴법무사사무소,목적변경등기,false,/부산사업목적변경등기,false,504,법인 사업목적 추가 등기,10,36,/부산사업목적변경등기,UNKNOWN,UNKNOWN,UNKNOWN,80,95,76,SUPPORT_NOINDEX,owner=/부산사업목적변경등기; final=69; Search Advisor UNKNOWN
해산등기,/glossary/dissolution-registration,corporate,해산등기 용어 확인 | 다옴법무사사무소,해산등기,false,/부산법인해산청산등기,false,516,법인 폐업과 해산등기,10,36,/부산법인해산청산등기,UNKNOWN,UNKNOWN,UNKNOWN,76,90,78,SUPPORT_NOINDEX,owner=/부산법인해산청산등기; final=65; Search Advisor UNKNOWN
청산등기,/glossary/liquidation-registration,corporate,청산등기 용어 확인 | 다옴법무사사무소,청산등기,false,/부산법인해산청산등기,false,490,청산종결등기 순서,2,36,/부산법인해산청산등기,UNKNOWN,UNKNOWN,UNKNOWN,74,90,78,SUPPORT_NOINDEX,owner=/부산법인해산청산등기; final=64; Search Advisor UNKNOWN
