keyword,region_type,parent_region,target_url,current_title,current_h1,indexable,canonical,in_sitemap,internal_links_in,internal_links_out,word_count,unique_word_count,similarity_group,priority,status
금정구 법무사,DISTRICT,부산광역시,/금정구법무사,금정구 법무사 | 부곡·장전 상속·한정승인 안내,"금정구 법무사, 부곡·장전·구서에서 상속과 한정승인을 볼 때",true,/금정구법무사,true,74,10,319,191,DISTRICT,DISTRICT,KEEP_INDEX
강서구 법무사,DISTRICT,부산광역시,/강서구법무사,강서구 법무사 | 명지·녹산 법인·공장 등기,"강서구 법무사, 명지 신도시와 산업단지 등기를 볼 때",true,/강서구법무사,true,114,10,339,195,DISTRICT,DISTRICT,KEEP_INDEX
연제구 법무사,DISTRICT,부산광역시,/연제구법무사,연제구 법무사 | 연산동·거제동 상속·등기 상담,"연제구 법무사 상담, 연산동·거제동에서 어떤 업무를 맡길 수 있을까요?",true,/연제구법무사,true,78,10,529,317,DISTRICT,HIGH,KEEP_INDEX
수영구 법무사,DISTRICT,부산광역시,/수영구법무사,수영구 법무사 | 광안·민락 부동산·상속 상담,"수영구 법무사, 광안·민락·남천에서 확인할 부동산·상속",true,/수영구법무사,true,74,10,403,236,DISTRICT,DISTRICT,KEEP_INDEX
사상구 법무사,DISTRICT,부산광역시,/사상구법무사,사상구 법무사 | 주례·감전 상속·회생 상담,"사상구 법무사, 주례·감전·엄궁에서 상속과 채무를 나눌 때",true,/사상구법무사,true,66,10,344,207,DISTRICT,DISTRICT,KEEP_INDEX
기장군 법무사,COUNTY,부산광역시,/기장군법무사,기장군 법무사 | 정관·일광·기장읍 토지·주택 등기,"기장군 법무사, 정관·일광·기장읍 토지와 주택을 볼 때",true,/기장군법무사,true,78,10,352,200,COUNTY,DISTRICT,KEEP_INDEX
부산 법무사,CITY,부산광역시,/부산법무사,부산에서 법무사 찾을 때 확인할 업무·비용·상담 기준 | 다옴법무사사무소,부산에서 법무사를 찾을 때 먼저 확인할 기준,true,/부산법무사,true,1978,28,457,292,CITY,CITY,IMPROVE_INDEX
센텀 법무사,BUSINESS_DISTRICT,해운대구,/센텀법무사,센텀 법무사 | 법인설립·임원변경·등기 상담,"센텀 법무사, 법인설립·임원변경·본점이전을 어디서부터 볼까",true,/센텀법무사,true,1504,28,468,277,BUSINESS_DISTRICT,LOCAL,KEEP_INDEX
재송동 법무사,DONG,해운대구,/재송동법무사,재송동 법무사 | 재송 아파트 상속·매매 등기,"재송동 법무사, 센텀 옆 주거 단지의 상속과 매매",true,/재송동법무사,true,42,10,384,226,DONG,LOCAL,KEEP_INDEX
반여동 법무사,DONG,해운대구,/반여동법무사,반여동 법무사 | 반여·반송 아파트 상속·등기,"반여동 법무사, 반여·반송 주거 단지의 상속과 매매",true,/반여동법무사,true,22,10,311,183,DONG,LOCAL,KEEP_INDEX
부산역 법무사,STATION,동구,/부산역법무사,부산역 법무사｜동구·초량동 등기 상담,부산역 법무사 — 동구·초량동 등기·채권 상담,true,/부산역법무사,true,6,10,378,253,STATION,DONG,IMPROVE_INDEX
서면 법무사,BUSINESS_DISTRICT,부산진구,/서면법무사,서면 법무사｜부산진구·부전동 상가등기,서면 법무사 — 부산진구 상가·법인 등기 상담,true,/서면법무사,true,20,10,367,249,BUSINESS_DISTRICT,DONG,IMPROVE_INDEX
광안리 법무사,BUSINESS_DISTRICT,수영구,/광안리법무사,광안리 법무사｜광안동·수영구 전세·등기,광안리 법무사 — 광안동·수영구 부동산·전세 등기,true,/광안리법무사,true,16,10,351,247,BUSINESS_DISTRICT,DONG,IMPROVE_INDEX
동래역 법무사,STATION,동래구,/동래역법무사,동래역 법무사｜동래·낙민동 등기 상담,동래역 법무사 — 동래·낙민동 상속·등기 상담,true,/동래역법무사,true,4,10,333,230,STATION,DONG,IMPROVE_INDEX
연산동 법무사,DONG,연제구,/연산동법무사,연산동 법무사｜등기국 인근 법인·부동산등기,연산동 법무사 — 등기국 인근 법인·부동산 상담,true,/연산동법무사,true,20,10,349,241,DONG,DONG,IMPROVE_INDEX
남천동 법무사,DONG,수영구,/남천동법무사,남천동 법무사｜수영구 전세·등기,남천동 법무사 — 수영구 전세·부동산 등기,true,/남천동법무사,true,2,10,283,210,DONG,DONG,IMPROVE_INDEX
대연동 법무사,DONG,남구,/대연동법무사,대연동 법무사｜남구 아파트·전세 등기,대연동 법무사 — 남구 아파트·전세 등기 상담,true,/대연동법무사,true,6,10,275,204,DONG,DONG,IMPROVE_INDEX
덕천동 법무사,DONG,북구,/덕천동법무사,덕천동 법무사｜북구·개인회생·등기,덕천동 법무사 — 북구 등기·개인회생 상담,true,/덕천동법무사,true,12,10,266,206,DONG,DONG,IMPROVE_INDEX
명지 법무사,LANDMARK,강서구,/명지법무사,명지 법무사｜강서구·에코델타 법인등기,명지 법무사 — 강서구·신도시 법인·신축 등기,true,/명지법무사,true,14,10,267,205,LANDMARK,DONG,IMPROVE_INDEX
정관 법무사,NEIGHBORHOOD,기장군,/정관법무사,정관 법무사｜기장군·토지상속 등기,정관 법무사 — 기장군 토지·주택·법인 등기,true,/정관법무사,true,6,10,270,206,NEIGHBORHOOD,DONG,IMPROVE_INDEX
사상 법무사,NEIGHBORHOOD,사상구,/사상법무사,사상 법무사｜괘법동·공장·상가 등기,사상 법무사 — 공장·상가·근저당 등기 상담,true,/사상법무사,true,8,10,301,230,NEIGHBORHOOD,DONG,IMPROVE_INDEX
하단 법무사,NEIGHBORHOOD,사하구,/하단법무사,하단 법무사｜사하구 등기·지급명령,하단 법무사 — 사하구 부동산·상속 등기,true,/하단법무사,true,6,10,275,206,NEIGHBORHOOD,DONG,IMPROVE_INDEX
우동 법무사,DONG,해운대구,/우동법무사,우동 법무사｜마린시티·해운대 등기 상담,우동 법무사 — 마린시티 고급 주거와 해변 상가 상담,true,/우동법무사,true,14,10,599,365,DONG,DONG,IMPROVE_INDEX
좌동 법무사,DONG,해운대구,/좌동법무사,좌동 법무사｜장산역·신시가지 상속 상담,좌동 법무사 — 장산역 신시가지의 대단지 아파트 상담,true,/좌동법무사,true,8,10,647,385,DONG,DONG,IMPROVE_INDEX
사직동 법무사,DONG,동래구,/사직동법무사,사직동 법무사｜야구장·구축아파트 상속,사직동 법무사 — 사직야구장 인근 구축 아파트와 단독주택 상담,true,/사직동법무사,true,10,10,632,382,DONG,DONG,IMPROVE_INDEX
화명동 법무사,DONG,북구,/화명동법무사,화명동 법무사｜신도시 아파트 매매·상속,화명동 법무사 — 화명신도시 대단지 실거주 아파트 상담,true,/화명동법무사,true,6,10,570,333,DONG,DONG,IMPROVE_INDEX
부곡동 법무사,DONG,금정구,/부곡동법무사,부곡동 법무사｜부산대 원룸·한정승인,부곡동 법무사 — 부산대 인근 원룸·다가구 임대 주택 상담,true,/부곡동법무사,true,10,10,587,338,DONG,DONG,IMPROVE_INDEX
거제동 법무사,DONG,연제구,/거제동법무사,거제동 법무사｜부산지법·회생 상담,거제동 법무사 — 부산지방법원·부산회생법원 인근 주거와 법조 생활권 상담,true,/거제동법무사,true,8,10,626,361,DONG,DONG,IMPROVE_INDEX
전포동 법무사,DONG,부산진구,/전포동법무사,전포동 법무사｜카페거리 상가 등기 상담,전포동 법무사 — 전포카페거리의 소형 상가와 꼬마빌딩 상담,true,/전포동법무사,true,4,10,638,378,DONG,DONG,IMPROVE_INDEX
문현동 법무사,DONG,남구,/문현동법무사,문현동 법무사｜금융단지 법인·주거 등기,문현동 법무사 — 문현금융단지 업무시설과 인접 주거 부동산 상담,true,/문현동법무사,true,4,10,562,329,DONG,DONG,IMPROVE_INDEX
용호동 법무사,DONG,남구,/용호동법무사,용호동 법무사｜이기대·오륙도 주거 등기,용호동 법무사 — 이기대·오륙도 해안 생활권의 아파트와 주택 상담,true,/용호동법무사,true,4,10,566,335,DONG,DONG,IMPROVE_INDEX
망미동 법무사,DONG,수영구,/망미동법무사,망미동 법무사｜망미역·수영강 등기,망미동 법무사 — 망미역·수영강 주변의 빌라·다세대와 아파트 상담,true,/망미동법무사,true,4,10,574,331,DONG,DONG,IMPROVE_INDEX
일광읍 법무사,DONG,기장군,/일광읍법무사,일광읍 법무사｜해수욕장·신축 상속 상담,일광읍 법무사 — 일광해수욕장 관광 상가와 신축·전원 주거 상담,true,/일광읍법무사,true,12,10,600,325,DONG,DONG,IMPROVE_INDEX
남포동 법무사,DONG,중구,/남포동법무사,남포동 법무사｜원도심 상가·상속 등기,남포동 법무사 — 자갈치·원도심의 다수 임차인 상가와 오래된 건물 상담,true,/남포동법무사,true,2,10,632,352,DONG,DONG,IMPROVE_INDEX
초량동 법무사,DONG,동구,/초량동법무사,초량동 법무사｜좌천·수정동 상속·등기,초량동 법무사 — 부산역 배후 주거·다가구와 항만 인접 상가 상담,true,/초량동법무사,true,4,10,497,300,DONG,DONG,IMPROVE_INDEX
범일동 법무사,DONG,동구,/범일동법무사,범일동 법무사｜범천동 상가·등기 상담,범일동 법무사 — 범일·범천 물류·공구상가와 배후 주거 상담,true,/범일동법무사,true,4,10,419,267,DONG,DONG,IMPROVE_INDEX
구포동 법무사,DONG,북구,/구포동법무사,구포동 법무사｜만덕동 회생·상속 상담,구포동 법무사 — 구포역·만덕터널 생활권의 구축 아파트와 주택 상담,true,/구포동법무사,true,8,10,438,276,DONG,DONG,IMPROVE_INDEX
다대동 법무사,DONG,사하구,/다대동법무사,다대동 법무사｜장림·감천 상속·등기,다대동 법무사 — 다대포·장림·감천 해안 주거와 산업단지 배후 주택 상담,true,/다대동법무사,true,6,10,407,263,DONG,DONG,IMPROVE_INDEX
괴정동 법무사,DONG,사하구,/괴정동법무사,괴정동 법무사｜당리·신평 매매·전세 등기,괴정동 법무사 — 괴정·당리·신평 역세권 아파트와 다세대 상담,true,/괴정동법무사,true,6,10,395,256,DONG,DONG,IMPROVE_INDEX
개금동 법무사,DONG,부산진구,/개금동법무사,개금동 법무사｜가야·당감 상속·등기,개금동 법무사 — 개금·가야·당감의 구축 아파트와 다세대 주거 상담,true,/개금동법무사,true,4,10,392,267,DONG,DONG,IMPROVE_INDEX
안락동 법무사,DONG,동래구,/안락동법무사,안락동 법무사｜명장·수안 상속등기,안락동 법무사 — 안락·명장·수안의 동래 동부 주거와 온천천 생활권 상담,true,/안락동법무사,true,2,10,392,243,DONG,DONG,IMPROVE_INDEX
구서동 법무사,DONG,금정구,/구서동법무사,구서동 법무사｜서동·청룡 상속·한정승인,구서동 법무사 — 구서·서동·청룡의 금정 남부 주거와 역세권 아파트 상담,true,/구서동법무사,true,2,10,422,252,DONG,DONG,IMPROVE_INDEX
반송동 법무사,DONG,해운대구,/반송동법무사,반송동 법무사｜석대·회동 상속·등기,반송동 법무사 — 반송·석대·회동의 해운대 서부 주거와 산업·물류 배후 상담,true,/반송동법무사,true,0,10,417,279,DONG,DONG,IMPROVE_INDEX
주례동 법무사,DONG,사상구,/주례동법무사,주례동 법무사｜학장·모라 상속·등기,주례동 법무사 — 주례·학장·모라의 사상 내륙 주거와 학교·단지 생활권 상담,true,/주례동법무사,true,6,10,414,263,DONG,DONG,IMPROVE_INDEX
동삼동 법무사,DONG,영도구,/동삼동법무사,동삼동 법무사｜영선·청학 상속·등기,동삼동 법무사 — 동삼·영선·청학의 영도 주거와 해양·조선 배후 생활권 상담,true,/동삼동법무사,true,6,10,402,260,DONG,DONG,IMPROVE_INDEX
우암동 법무사,DONG,남구,/우암동법무사,우암동 법무사｜감만·용당 상속·등기,우암동 법무사 — 우암·감만·용당의 남구 항만 배후 주거와 소규모 상가 상담,true,/우암동법무사,true,4,10,384,258,DONG,DONG,IMPROVE_INDEX
기장읍 법무사,DONG,기장군,/기장읍법무사,기장읍 법무사｜장안·철마 토지 상속등기,기장읍 법무사 — 기장읍·장안읍·철마면의 읍면 토지·전원주택 상담,true,/기장읍법무사,true,18,10,403,265,DONG,DONG,IMPROVE_INDEX
연지동 법무사,DONG,부산진구,/연지동법무사,연지동 법무사｜초읍동 상속·매매 등기,연지동 법무사 — 연지·초읍의 부산진 북부 주거와 공원·학교 생활권 상담,true,/연지동법무사,true,4,10,391,249,DONG,DONG,IMPROVE_INDEX
오시리아 법무사,LANDMARK,기장군,/오시리아법무사,오시리아 법무사｜동부산 분양·상속 등기,오시리아 법무사 — 오시리아·동부산 관광·레저 단지와 기장 배후 부동산 상담,true,/오시리아법무사,true,2,10,397,253,LANDMARK,DONG,IMPROVE_INDEX
부산법무사,NEIGHBORHOOD,부산광역시,/,부산 법무사 안윤정 | 다옴법무사사무소,부산 법무사 안윤정,true,/,true,106,16,155,124,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 상속 전문 법무사,NEIGHBORHOOD,부산광역시,/부산상속법무사,부산 상속 법무사 | 등기·포기·한정승인 먼저 확인,"부산 상속 법무사, 등기·포기·한정승인 중 무엇부터 볼까",true,/부산상속법무사,true,562,16,991,500,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 상속전문 법무사,NEIGHBORHOOD,부산광역시,/부산상속법무사,부산 상속 법무사 | 등기·포기·한정승인 먼저 확인,"부산 상속 법무사, 등기·포기·한정승인 중 무엇부터 볼까",true,/부산상속법무사,true,562,16,991,500,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 상속 법무사,NEIGHBORHOOD,부산광역시,/부산상속법무사,부산 상속 법무사 | 등기·포기·한정승인 먼저 확인,"부산 상속 법무사, 등기·포기·한정승인 중 무엇부터 볼까",true,/부산상속법무사,true,562,16,991,500,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 상속등기 법무사,NEIGHBORHOOD,부산광역시,/부산상속등기,부산 상속등기 법무사｜상속인 구성에 따라 달라지는 서류와 진행 순서,"부산 상속등기 법무사, 명의이전 서류와 진행 순서",true,/부산상속등기,true,2006,28,625,353,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 상속포기 법무사,NEIGHBORHOOD,부산광역시,/부산상속포기,부산 상속포기 법무사｜3개월 기한과 후순위 상속 효과를 먼저 확인,"부산 상속포기 법무사, 기한과 후순위부터 확인하세요",true,/부산상속포기,true,398,28,748,381,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 한정승인 법무사,NEIGHBORHOOD,부산광역시,/부산한정승인,부산 한정승인 법무사｜상속채무가 걱정될 때 3개월 안에 확인할 절차,"부산 한정승인 법무사, 상속채무가 불확실할 때 먼저 볼 기준",true,/부산한정승인,true,358,28,672,360,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 등기 법무사,NEIGHBORHOOD,부산광역시,/부산등기법무사,부산 등기 법무사 | 부동산·상속·법인등기 상담 - 다옴법무사사무소,"부산 등기 법무사, 어떤 등기부터 준비해야 할까요?",true,/부산등기법무사,true,1048,16,543,350,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 부동산 법무사,NEIGHBORHOOD,부산광역시,/부산부동산등기,부산 부동산등기 법무사｜잔금·말소·소유권이전 순서를 맞추려면,"부산 부동산등기 법무사, 매매·증여 이전 순서 정리",true,/부산부동산등기,true,1990,28,553,312,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 부동산등기 법무사,NEIGHBORHOOD,부산광역시,/부산부동산등기,부산 부동산등기 법무사｜잔금·말소·소유권이전 순서를 맞추려면,"부산 부동산등기 법무사, 매매·증여 이전 순서 정리",true,/부산부동산등기,true,1990,28,553,312,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 법인 법무사,NEIGHBORHOOD,부산광역시,/부산법인법무사,부산 법무사 법인 업무｜비용·절차·준비서류 총정리,"부산 법인 업무, 설립부터 변경·해산까지 한 번에 확인하기",true,/부산법인법무사,true,434,16,648,436,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
부산 개인회생 법무사,NEIGHBORHOOD,부산광역시,/부산개인회생법무사,부산 개인회생 법무사｜소득·채무·재산으로 보는 신청 가능성,"부산 개인회생 법무사, 소득·채무·재산으로 신청 가능성 보기",true,/부산개인회생법무사,true,22,16,368,259,NEIGHBORHOOD,MAPPED,IMPROVE_INDEX
해운대구 법무사,DISTRICT,해운대구,/해운대법무사,해운대 법무사 | 센텀·재송·우동 부동산·상속 상담,"해운대 법무사, 센텀·재송·우동에서 맡길 수 있는 업무",true,/해운대법무사,true,1600,28,487,282,DISTRICT,MAPPED,KEEP_INDEX
센텀시티 법무사,BUSINESS_DISTRICT,해운대구,/센텀법무사,센텀 법무사 | 법인설립·임원변경·등기 상담,"센텀 법무사, 법인설립·임원변경·본점이전을 어디서부터 볼까",true,/센텀법무사,true,1504,28,468,277,BUSINESS_DISTRICT,MAPPED,KEEP_INDEX
광안동 법무사,DONG,부산광역시,/광안동법무사,광안동 법무사 | 행정동 실거주 아파트·다가구,"광안동 법무사, 행정동 실거주 아파트·내륙 상가를 볼 때",true,/광안동법무사,true,2,16,292,158,DONG,MAPPED,IMPROVE_INDEX
민락동 법무사,DONG,부산광역시,/민락동법무사,민락동 법무사 | 민락역·수변 오피스텔 등기,"민락동 법무사, 민락역·수변 오피스텔·상가를 볼 때",true,/민락동법무사,true,4,16,380,232,DONG,MAPPED,IMPROVE_INDEX
온천동 법무사,DONG,부산광역시,/온천동법무사,온천동 법무사 | 온천장·동래읍성 상속·매매,"온천동 법무사, 온천장·동래읍성에서 상속·매매를 볼 때",true,/온천동법무사,true,2,16,297,166,DONG,MAPPED,IMPROVE_INDEX
명륜동 법무사,DISTRICT,동래구,/동래구법무사,동래구 법무사 | 사직·온천 상속·부동산등기 안내,"동래구 법무사, 사직·온천·명륜에서 상속과 등기를 나누는 방법",true,/동래구법무사,true,66,10,437,261,DISTRICT,MAPPED,KEEP_INDEX
부산진 법무사,DISTRICT,부산진구,/부산진구법무사,부산진구 법무사 | 서면·부전·전포 상가·등기 상담,"부산진구 법무사, 서면·전포 상가와 주거 등기를 어떻게 나누나요",true,/부산진구법무사,true,70,10,425,253,DISTRICT,MAPPED,KEEP_INDEX
부전동 법무사,DONG,부산광역시,/부전동법무사,부전동 법무사 | 부전 지번 상가·권리금 구분,"부전동 법무사, 부전 지번 상가 소유권과 권리금을 볼 때",true,/부전동법무사,true,2,16,312,163,DONG,MAPPED,IMPROVE_INDEX
기장 법무사,COUNTY,기장군,/기장군법무사,기장군 법무사 | 정관·일광·기장읍 토지·주택 등기,"기장군 법무사, 정관·일광·기장읍 토지와 주택을 볼 때",true,/기장군법무사,true,78,10,352,200,COUNTY,MAPPED,KEEP_INDEX
중동 법무사,DONG,부산광역시,/중동법무사,중동 법무사 | 해운대역·해변 상권 등기,"중동 법무사, 해운대역 상가·오피스텔 등기를 볼 때",true,/중동법무사,true,6,16,262,144,DONG,MAPPED,IMPROVE_INDEX
부산 중구 법무사,DISTRICT,중구,/중구법무사,중구 법무사 | 남포·원도심 상가·법인 주소,"중구 법무사, 남포·중앙 원도심 상가와 법인 주소를 볼 때",true,/중구법무사,true,50,10,532,285,DISTRICT,MAPPED,KEEP_INDEX
부산 서구 법무사,DISTRICT,서구,/서구법무사,서구 법무사 | 충무·송도 주택·상속 등기,"서구 법무사, 충무·동대신·송도 주택과 상속을 볼 때",true,/서구법무사,true,50,10,390,228,DISTRICT,MAPPED,KEEP_INDEX
부산 동구 법무사,DISTRICT,동구,/동구법무사,동구 법무사 | 부산역·초량 상가·등기 상담,"동구 법무사, 부산역·초량·범일 역세권 상가와 주택을 볼 때",true,/동구법무사,true,44,10,362,206,DISTRICT,MAPPED,KEEP_INDEX
부산 영도구 법무사,DISTRICT,영도구,/영도구법무사,영도구 법무사 | 남항·동삼 부동산·법인 등기,"영도구 법무사, 남항·동삼 주거와 법인 등기를 볼 때",true,/영도구법무사,true,50,10,358,213,DISTRICT,MAPPED,KEEP_INDEX
부산 동래구 법무사,DISTRICT,동래구,/동래구법무사,동래구 법무사 | 사직·온천 상속·부동산등기 안내,"동래구 법무사, 사직·온천·명륜에서 상속과 등기를 나누는 방법",true,/동래구법무사,true,66,10,437,261,DISTRICT,MAPPED,KEEP_INDEX
부산 남구 법무사,DISTRICT,남구,/남구법무사,남구 법무사 | 대연·용호·문현 법인·부동산 상담,"남구 법무사, 대연·용호 주거와 문현 법인을 나누는 안내",true,/남구법무사,true,62,10,314,180,DISTRICT,MAPPED,KEEP_INDEX
부산 북구 법무사,DISTRICT,북구,/북구법무사,북구 법무사 | 화명·덕천 상속·회생 상담,"북구 법무사, 화명·덕천·구포에서 상속과 회생을 나누는 방법",true,/북구법무사,true,60,10,355,212,DISTRICT,MAPPED,KEEP_INDEX
부산 해운대 법무사,DISTRICT,해운대구,/해운대법무사,해운대 법무사 | 센텀·재송·우동 부동산·상속 상담,"해운대 법무사, 센텀·재송·우동에서 맡길 수 있는 업무",true,/해운대법무사,true,1600,28,487,282,DISTRICT,MAPPED,KEEP_INDEX
부산 사하구 법무사,DISTRICT,사하구,/사하구법무사,사하구 법무사 | 하단·괴정 주택·상속 등기,"사하구 법무사, 하단·괴정·다대 주택과 상속을 볼 때",true,/사하구법무사,true,62,10,348,191,DISTRICT,MAPPED,KEEP_INDEX
부산 금정구 법무사,DISTRICT,금정구,/금정구법무사,금정구 법무사 | 부곡·장전 상속·한정승인 안내,"금정구 법무사, 부곡·장전·구서에서 상속과 한정승인을 볼 때",true,/금정구법무사,true,74,10,319,191,DISTRICT,MAPPED,KEEP_INDEX
부산 강서구 법무사,DISTRICT,강서구,/강서구법무사,강서구 법무사 | 명지·녹산 법인·공장 등기,"강서구 법무사, 명지 신도시와 산업단지 등기를 볼 때",true,/강서구법무사,true,114,10,339,195,DISTRICT,MAPPED,KEEP_INDEX
부산 연제구 법무사,DISTRICT,연제구,/연제구법무사,연제구 법무사 | 연산동·거제동 상속·등기 상담,"연제구 법무사 상담, 연산동·거제동에서 어떤 업무를 맡길 수 있을까요?",true,/연제구법무사,true,78,10,529,317,DISTRICT,MAPPED,KEEP_INDEX
부산 수영구 법무사,DISTRICT,수영구,/수영구법무사,수영구 법무사 | 광안·민락 부동산·상속 상담,"수영구 법무사, 광안·민락·남천에서 확인할 부동산·상속",true,/수영구법무사,true,74,10,403,236,DISTRICT,MAPPED,KEEP_INDEX
부산 사상구 법무사,DISTRICT,사상구,/사상구법무사,사상구 법무사 | 주례·감전 상속·회생 상담,"사상구 법무사, 주례·감전·엄궁에서 상속과 채무를 나눌 때",true,/사상구법무사,true,66,10,344,207,DISTRICT,MAPPED,KEEP_INDEX
부산 기장군 법무사,COUNTY,기장군,/기장군법무사,기장군 법무사 | 정관·일광·기장읍 토지·주택 등기,"기장군 법무사, 정관·일광·기장읍 토지와 주택을 볼 때",true,/기장군법무사,true,78,10,352,200,COUNTY,MAPPED,KEEP_INDEX
