keyword,cluster,search_intent,owner_url,whyRelevant,existingPage,recommendedAction
찾아가는 직업인 특강,career,informational,/법무사진로특강,NEW_SCHOOL_TERM,/법무사진로특강,MAP_EXISTING
진로특강 강사,career,commercial,/법무사진로특강,PRIMARY career,/법무사진로특강,MAP_EXISTING
진로교육 강사,career,commercial,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
법조인 진로특강,career,informational,/법무사진로특강,PRIMARY,/법무사진로특강,MAP_EXISTING
법조인 초청 특강,career,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
현직 법조인 특강,career,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
법무사 직업특강,career,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
전문직 진로특강,career,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
고등학교 진로특강,school,informational,/법무사진로특강,진로 중심,/법무사진로특강,MAP_EXISTING
고등학교 진로특강 강사,school,commercial,/법무사진로특강,PRIMARY school career,/법무사진로특강,MAP_EXISTING
고등학교 강사,school,commercial,/학교법률교육,학교 허브,/학교법률교육,MAP_EXISTING
고등학교 외부강사,school,commercial,/학교법률교육,동일,/학교법률교육,MAP_EXISTING
학교 외부강사,school,commercial,/학교법률교육,동일,/학교법률교육,MAP_EXISTING
대학교 특강 강사,university,commercial,/학교법률교육,대학 슬롯,/학교법률교육,MAP_EXISTING
대학 외부강사,university,commercial,/학교법률교육,동일,/학교법률교육,MAP_EXISTING
대학생 진로특강,university,informational,/법무사진로특강,진로,/법무사진로특강,MAP_EXISTING
대학생 현직자 특강,university,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
현직자 멘토링,university,informational,/법무사진로특강,NEW_UNIVERSITY_TERM,/법무사진로특강,MAP_EXISTING
비교과 특강 강사,university,commercial,/학교법률교육,NEW_UNIVERSITY_TERM,/학교법률교육,MAP_EXISTING
취업 진로 특강,university,informational,/법무사진로특강,동일,/법무사진로특강,MAP_EXISTING
대학생 생활법률 특강,university,informational,/청년생활법률특강,생활법률,/청년생활법률특강,MAP_EXISTING
대학생 전세사기 예방교육,university,informational,/전세사기예방교육,주제,/전세사기예방교육,MAP_EXISTING
법률 특강 강사,generic-topic,commercial,/법률강의,GENERIC hub intent,/법률강의,MAP_EXISTING
진로 특강 강사,generic-topic,commercial,/법무사진로특강,GENERIC career,/법무사진로특강,MAP_EXISTING
법률교육 강사,generic-topic,commercial,/법률강의,동일,/법률강의,MAP_EXISTING
생활법률 특강 강사,generic-topic,commercial,/법률강의,동일,/법률강의,MAP_EXISTING
기업교육 강사,corporate,commercial,/기업법률교육,지역 없음,/기업법률교육,MAP_EXISTING
사내교육 강사,corporate,commercial,/기업법률교육,동일,/기업법률교육,MAP_EXISTING
공공기관 강사,public,commercial,/공공기관법률교육,지역 없음,/공공기관법률교육,MAP_EXISTING
기관 외부강사,public,commercial,/공공기관법률교육,동일,/공공기관법률교육,MAP_EXISTING
전세사기 예방 강사,jeonse,commercial,/전세사기예방교육,지역 없음,/전세사기예방교육,MAP_EXISTING
창업 법률 강사,startup,commercial,/창업법률교육,지역 없음,/창업법률교육,MAP_EXISTING
강사 프로필,admin-docs,informational,/강사소개,섭외 단계,/강사소개,MAP_EXISTING
강의계획서,admin-docs,informational,/부산강사섭외체크리스트,동일,/부산강사섭외체크리스트,MAP_EXISTING
특강 제안서,admin-docs,informational,/부산강사섭외체크리스트,동일,/부산강사섭외체크리스트,MAP_EXISTING
강사료,admin-cost,informational,/부산강사섭외비용,고정가 없음,/부산강사섭외비용,MAP_EXISTING
외부강사 강사료,admin-cost,informational,/부산강사섭외비용,동일,/부산강사섭외비용,MAP_EXISTING
출강료,admin-cost,informational,/부산강사섭외비용,동일,/부산강사섭외비용,MAP_EXISTING
울산 법률강사,region-adjacent,commercial,/부산법률강사,출강 협의. clone page 금지,/부산법률강사,MAP_EXISTING
창원 청년특강 강사,region-adjacent,commercial,/청년생활법률특강,창원청년비전센터 이력,/청년생활법률특강,MAP_EXISTING
양산 진로특강 강사,region-adjacent,commercial,/법무사진로특강,양산제일고 이력,/법무사진로특강,MAP_EXISTING
김해 법률특강,region-adjacent,informational,/법률강의,출강 협의 only,/법률강의,MAP_EXISTING
경남 진로강사,region-adjacent,commercial,/법무사진로특강,실적 기반,/법무사진로특강,MAP_EXISTING
