keyword,owner,status,intent_match,owner_clarity,uniqueness_note,internal_authority,priority
부산 아파트 등기 법무사,/부산부동산등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,1022,P1-internal
부산 매매등기 법무사,/부산소유권이전등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,574,P1-internal
부산 증여등기 법무사,/부산증여등기,SERP_UNVERIFIED,internal-owner-1,15,,18,observe
부산 근저당설정 법무사,/부산근저당설정등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,21,P1-internal
부산 근저당말소 법무사,/부산근저당말소등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,46,P1-internal
부산 전세권설정 법무사,/부산전세권설정등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,16,P1-internal
부산 전세권말소 법무사,/부산전세권말소등기,SERP_UNVERIFIED,internal-owner-1,15,,7,observe
부산 보존등기 법무사,/부산신축건물보존등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,551,P1-internal
부산 가등기 법무사,/부산가등기,SERP_UNVERIFIED,internal-owner-1,15,,5,observe
부산 법인 법무사,/부산법인법무사,SERP_UNVERIFIED,internal-owner-1,15,,224,observe
부산 법인등기 법무사,/부산법인등기,SERP_UNVERIFIED,internal-owner-1,15,,1176,observe
부산 법인등기,/부산법인등기,SERP_UNVERIFIED,internal-owner-1,15,,1176,observe
부산 법인설립 법무사,/부산법인설립등기,SERP_UNVERIFIED,internal-owner-1,15,,323,observe
부산 법인설립등기,/부산법인설립등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,323,P1-internal
부산 임원변경등기 법무사,/부산임원변경등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,552,P1-internal
부산 대표이사 변경등기,/부산임원변경등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,552,P1-internal
부산 본점이전등기,/부산본점이전등기,SERP_UNVERIFIED,internal-owner-1,15,,13,observe
부산 목적변경등기,/부산사업목적변경등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,6,P1-internal
부산 증자등기,/부산유상증자등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,6,P1-internal
부산 해산등기,/부산법인해산청산등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,10,P1-internal
부산 청산등기,/부산법인해산청산등기,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,10,P1-internal
부산 개인회생 법무사,/부산개인회생법무사,SERP_UNVERIFIED,internal-owner-1,15,,14,observe
부산 개인회생,/부산개인회생,SERP_UNVERIFIED,internal-owner-1,15,,385,observe
부산 개인파산 법무사,/부산개인파산법무사,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
부산 개인파산,/부산개인파산,SERP_UNVERIFIED,internal-owner-1,15,,12,observe
부산 회생파산 법무사,/개인회생파산,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,66,P1-internal
부산 파산면책,/부산개인파산,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,12,P1-internal
부산 개인회생 비용,/개인회생비용,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,111,P1-internal
부산 개인파산 비용,/개인파산비용,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,3,P1-internal
부산 지급명령 법무사,/부산지방법원지급명령,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,5,P1-internal
부산 내용증명 법무사,/내용증명작성준비,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,11,P1-internal
부산 임차권등기명령 법무사,/부산임차권등기명령,SERP_UNVERIFIED,internal-owner-1,15,,13,observe
부산 가압류 말소 법무사,/부산가압류말소등기,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
부산 개명 법무사,/부산개명허가,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,2,P1-internal
부산 중구 법무사,/중구법무사,SERP_UNVERIFIED,internal-owner-1,15,,28,observe
부산 서구 법무사,/서구법무사,SERP_UNVERIFIED,internal-owner-1,15,,25,observe
부산 동구 법무사,/동구법무사,SERP_UNVERIFIED,internal-owner-1,15,,23,observe
영도구 법무사,/영도구법무사,SERP_UNVERIFIED,internal-owner-1,15,,25,observe
부산진구 법무사,/부산진구법무사,SERP_UNVERIFIED,internal-owner-1,15,,40,observe
동래구 법무사,/동래구법무사,SERP_UNVERIFIED,internal-owner-1,15,,36,observe
부산 남구 법무사,/남구법무사,SERP_UNVERIFIED,internal-owner-1,15,,31,observe
부산 북구 법무사,/북구법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,30,P1-internal
해운대구 법무사,/해운대법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,778,P1-internal
해운대 법무사,/해운대법무사,SERP_UNVERIFIED,internal-owner-1,15,,778,observe
사하구 법무사,/사하구법무사,SERP_UNVERIFIED,internal-owner-1,15,,32,observe
금정구 법무사,/금정구법무사,SERP_UNVERIFIED,internal-owner-1,15,,37,observe
강서구 법무사,/강서구법무사,SERP_UNVERIFIED,internal-owner-1,15,,60,observe
연제구 법무사,/연제구법무사,SERP_UNVERIFIED,internal-owner-1,15,,43,observe
수영구 법무사,/수영구법무사,SERP_UNVERIFIED,internal-owner-1,15,,41,observe
사상구 법무사,/사상구법무사,SERP_UNVERIFIED,internal-owner-1,15,,35,observe
기장군 법무사,/기장군법무사,SERP_UNVERIFIED,internal-owner-1,15,,39,observe
기장 법무사,/기장군법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,39,P1-internal
센텀 법무사,/센텀법무사,SERP_UNVERIFIED,internal-owner-1,15,,742,observe
센텀시티 법무사,/센텀법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,742,P1-internal
재송동 법무사,/재송동법무사,SERP_UNVERIFIED,internal-owner-1,15,,23,observe
반여동 법무사,/반여동법무사,SERP_UNVERIFIED,internal-owner-1,15,,12,observe
우동 법무사,/우동법무사,SERP_UNVERIFIED,internal-owner-1,15,,11,observe
좌동 법무사,/좌동법무사,SERP_UNVERIFIED,internal-owner-1,15,,6,observe
연산동 법무사,/연산동법무사,SERP_UNVERIFIED,internal-owner-1,15,,12,observe
거제동 법무사,/거제동법무사,SERP_UNVERIFIED,internal-owner-1,15,,5,observe
광안동 법무사,/광안동법무사,SERP_UNVERIFIED,internal-owner-1,15,,3,observe
광안리 법무사,/광안리법무사,SERP_UNVERIFIED,internal-owner-1,15,,12,observe
민락동 법무사,/민락동법무사,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
망미동 법무사,/망미동법무사,SERP_UNVERIFIED,internal-owner-1,15,,2,observe
남천동 법무사,/남천동법무사,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
사직동 법무사,/사직동법무사,SERP_UNVERIFIED,internal-owner-1,15,,7,observe
온천동 법무사,/온천동법무사,SERP_UNVERIFIED,internal-owner-1,15,,2,observe
명륜동 법무사,/동래구법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,36,P1-internal
서면 법무사,/서면법무사,SERP_UNVERIFIED,internal-owner-1,15,,14,observe
부전동 법무사,/부전동법무사,SERP_UNVERIFIED,internal-owner-1,15,,3,observe
전포동 법무사,/전포동법무사,SERP_UNVERIFIED,internal-owner-1,15,,5,observe
대연동 법무사,/대연동법무사,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
용호동 법무사,/용호동법무사,SERP_UNVERIFIED,internal-owner-1,15,,3,observe
문현동 법무사,/문현동법무사,SERP_UNVERIFIED,internal-owner-1,15,,3,observe
덕천동 법무사,/덕천동법무사,SERP_UNVERIFIED,internal-owner-1,15,,8,observe
화명동 법무사,/화명동법무사,SERP_UNVERIFIED,internal-owner-1,15,,4,observe
만덕동 법무사,/북구법무사,SERP_UNVERIFIED,internal-owner-mismatch-or-weak,15,,30,P1-internal
부산 강의 문의,/강의문의,SERP_UNVERIFIED,internal-owner-1,15,,44,observe
