keyword,cluster,owner,status,internal_rank1,internal_score,gap_score,priority
금정구 법무사,district,/금정구법무사,SERP_UNVERIFIED,/금정구법무사,209,51,2
강서구 법무사,district,/강서구법무사,SERP_UNVERIFIED,/강서구법무사,209,52,2
연제구 법무사,district,/연제구법무사,SERP_UNVERIFIED,/연제구법무사,212,51,2
수영구 법무사,district,/수영구법무사,SERP_UNVERIFIED,/수영구법무사,206,51,2
사상구 법무사,district,/사상구법무사,SERP_UNVERIFIED,/사상구법무사,206,51,2
기장군 법무사,district,/기장군법무사,SERP_UNVERIFIED,/기장군법무사,212,51,2
기장 법무사,district,/기장군법무사,SERP_UNVERIFIED,/기장법무사,139,44,1
센텀 법무사,neighborhood,/센텀법무사,SERP_UNVERIFIED,/센텀법무사,212,60,2
센텀시티 법무사,neighborhood,/센텀법무사,SERP_UNVERIFIED,/센텀시티역법무사,48,53,1
재송동 법무사,neighborhood,/재송동법무사,SERP_UNVERIFIED,/재송동법무사,200,51,2
반여동 법무사,neighborhood,/반여동법무사,SERP_UNVERIFIED,/반여동법무사,209,50,2
우동 법무사,neighborhood,/우동법무사,SERP_UNVERIFIED,/우동법무사,200,50,2
좌동 법무사,neighborhood,/좌동법무사,SERP_UNVERIFIED,/좌동법무사,200,50,2
연산동 법무사,neighborhood,/연산동법무사,SERP_UNVERIFIED,/연산동법무사,203,50,2
거제동 법무사,neighborhood,/거제동법무사,SERP_UNVERIFIED,/거제동법무사,206,50,2
광안동 법무사,neighborhood,/광안동법무사,SERP_UNVERIFIED,/광안동법무사,200,50,2
광안리 법무사,neighborhood,/광안리법무사,SERP_UNVERIFIED,/광안리법무사,194,50,2
민락동 법무사,neighborhood,/민락동법무사,SERP_UNVERIFIED,/민락동법무사,200,50,2
망미동 법무사,neighborhood,/망미동법무사,SERP_UNVERIFIED,/망미동법무사,206,50,2
남천동 법무사,neighborhood,/남천동법무사,SERP_UNVERIFIED,/남천동법무사,200,50,2
사직동 법무사,neighborhood,/사직동법무사,SERP_UNVERIFIED,/사직동법무사,200,50,2
온천동 법무사,neighborhood,/온천동법무사,SERP_UNVERIFIED,/온천동법무사,200,50,2
명륜동 법무사,neighborhood,/동래구법무사,SERP_UNVERIFIED,/업무사례/부산명륜동법무사,36,44,1
서면 법무사,neighborhood,/서면법무사,SERP_UNVERIFIED,/서면법무사,203,50,2
부전동 법무사,neighborhood,/부전동법무사,SERP_UNVERIFIED,/부전동법무사,200,50,2
전포동 법무사,neighborhood,/전포동법무사,SERP_UNVERIFIED,/전포동법무사,200,50,2
대연동 법무사,neighborhood,/대연동법무사,SERP_UNVERIFIED,/대연동법무사,200,50,2
용호동 법무사,neighborhood,/용호동법무사,SERP_UNVERIFIED,/용호동법무사,206,50,2
문현동 법무사,neighborhood,/문현동법무사,SERP_UNVERIFIED,/문현동법무사,206,50,2
덕천동 법무사,neighborhood,/덕천동법무사,SERP_UNVERIFIED,/덕천동법무사,194,50,2
화명동 법무사,neighborhood,/화명동법무사,SERP_UNVERIFIED,/화명동법무사,200,50,2
만덕동 법무사,neighborhood,/북구법무사,SERP_UNVERIFIED,/업무사례/부산만덕동법무사,36,44,1
부산 강의 문의,lecture,/강의문의,SERP_UNVERIFIED,/강의문의,158,51,3
